Epoch	TrainError	TrainCCR	TestCCR
1 0.334685 17.6667 18.6667
2 0.321343 23.4444 22.3333
3 0.312502 24.6667 24
4 0.305174 25.8889 25.3333
5 0.298602 26.2222 28.6667
6 0.292801 27.4444 29.6667
7 0.287785 27.8889 29.3333
8 0.283307 27.6667 30.3333
9 0.279105 28.2222 30.3333
10 0.275042 28.8889 32
11 0.271101 31.3333 32.6667
12 0.267466 31.5556 33.3333
13 0.264287 32.4444 34.3333
14 0.261395 33.3333 36
15 0.258626 33 36
16 0.255923 33.2222 36
17 0.253316 35.3333 38.6667
18 0.250837 36.1111 38.6667
19 0.248507 36.4444 40
20 0.246314 36.7778 40.3333
21 0.244255 37 40
22 0.242344 37.1111 39.3333
23 0.240564 37.4444 39.3333
24 0.238894 37.7778 39.6667
25 0.237314 38 40
26 0.235817 38.3333 40
27 0.234394 38.1111 40.3333
28 0.233029 38.3333 39.3333
29 0.231716 38.3333 39.3333
30 0.230459 38.5556 39
31 0.22925 38.4444 39.3333
32 0.228081 39 41.3333
33 0.226948 39.6667 41.3333
34 0.225857 39.5556 42
35 0.224816 40.3333 42.3333
36 0.223823 40.4444 42.3333
37 0.222874 40.4444 43.6667
38 0.22196 40.2222 43.3333
39 0.221073 39.8889 43
40 0.220208 40.1111 43.3333
41 0.21935 39.1111 43.3333
42 0.218484 40.3333 42.3333
43 0.217611 42 40.6667
44 0.216755 42.3333 41.3333
45 0.21593 42.1111 40.6667
46 0.215135 41.7778 40.3333
47 0.214367 41.8889 39.6667
48 0.213616 41.6667 39.6667
49 0.212872 42.2222 40.6667
50 0.212124 42.5556 40.3333
51 0.211366 42.5556 40.6667
52 0.210595 42.5556 41
53 0.209823 42.6667 41
54 0.209064 42.6667 41.3333
55 0.208328 42.8889 41.3333
56 0.207608 43.1111 42
57 0.20689 43 42.6667
58 0.206163 43 42.6667
59 0.205429 43.3333 42.6667
60 0.204697 43.6667 42.3333
61 0.203982 43.8889 43
62 0.203292 43.7778 42.3333
63 0.202618 41.4444 37.6667
64 0.201948 41.4444 37.3333
65 0.201269 41.6667 38.6667
66 0.200588 41.6667 38.6667
67 0.19993 42.2222 39.3333
68 0.199315 42.2222 39.3333
69 0.198745 42.1111 40
70 0.198208 42.1111 40.3333
71 0.197694 43.3333 40.3333
72 0.197197 43.7778 40.3333
73 0.196713 44 40.3333
74 0.196242 44 40.6667
75 0.195785 44.2222 41
76 0.195344 44.5556 41
77 0.194921 44.7778 41
78 0.194514 45 40.6667
79 0.194118 46.1111 42
80 0.193728 44 41
81 0.193334 43.4444 41.3333
82 0.192926 43.4444 41.3333
83 0.192497 43.7778 42
84 0.192061 43.6667 42
85 0.191646 44 42
86 0.191247 44 41.6667
87 0.19085 44.2222 41.3333
88 0.190457 44.3333 41.3333
89 0.190074 44.3333 44
90 0.189702 44.3333 44
91 0.189336 44.4444 43.6667
92 0.188968 44.7778 44
93 0.188583 45.2222 44.3333
94 0.188181 45.3333 40
95 0.187796 44.6667 40.6667
96 0.187449 44.7778 41
97 0.187129 44.7778 41
98 0.186829 45 41
99 0.186542 45 41.3333
100 0.186259 45 41
101 0.185976 45 41.3333
102 0.185691 45.2222 42
103 0.185402 45.5556 42
104 0.185106 45.5556 42
105 0.184803 45.8889 42
106 0.184492 46.1111 42
107 0.184178 46.1111 42
108 0.18386 46.7778 41.6667
109 0.183535 46.7778 42.3333
110 0.183196 46.8889 42.3333
111 0.18283 47.1111 42.6667
112 0.182431 47.1111 42.6667
113 0.182 47.2222 42.6667
114 0.181557 47.6667 44
115 0.181122 47.5556 44.3333
116 0.180704 47.7778 44.3333
117 0.180284 47.8889 44.3333
118 0.17984 48 44.6667
119 0.179348 48.1111 44.3333
120 0.178805 48.1111 44
121 0.178226 48.2222 44.6667
122 0.177603 48.3333 44.6667
123 0.176932 48.5556 45.6667
124 0.176264 48.8889 45.6667
125 0.175628 49 45.6667
126 0.175005 49 46.6667
127 0.174399 49.3333 47.6667
128 0.17382 49.7778 47.6667
129 0.173265 51.1111 48.3333
130 0.172729 51.3333 48.3333
131 0.172222 51.4444 48.6667
132 0.171755 51.7778 49.3333
133 0.171318 52.2222 50
134 0.170894 52.3333 50
135 0.170473 52.4444 49.6667
136 0.170042 52.5556 50
137 0.169589 52.6667 50.3333
138 0.169096 53 50
139 0.168539 53.2222 50.3333
140 0.167886 53.4444 50.3333
141 0.167121 54.3333 50
142 0.166323 54.5556 50.6667
143 0.165655 55 50.6667
144 0.165078 54.8889 51
145 0.164546 54.8889 51
146 0.164047 55.1111 51
147 0.163571 55.3333 50.6667
148 0.163112 55.5556 50.6667
149 0.162665 55.6667 50.3333
150 0.162221 55.7778 51
151 0.16177 55.8889 51.3333
152 0.161298 55.8889 51.3333
153 0.16079 56.1111 51.3333
154 0.160235 56.1111 51
155 0.159654 56.4444 51.6667
156 0.159093 56.6667 51.6667
157 0.158568 56.7778 51.6667
158 0.158064 57 52
159 0.15757 57.2222 52
160 0.157091 57.4444 52
161 0.15664 57.7778 52
162 0.156225 58 52
163 0.155845 58 52
164 0.155491 58 52
165 0.155161 58 51.6667
166 0.154852 58.1111 51.6667
167 0.154562 58.1111 52
168 0.154289 58.2222 52.6667
169 0.154027 58.2222 52.3333
170 0.153774 58.2222 52.6667
171 0.15353 58.2222 52.6667
172 0.153293 58.2222 52.6667
173 0.153063 58.2222 52.6667
174 0.152837 58.2222 52.6667
175 0.152615 58.3333 53
176 0.152393 58.3333 53
177 0.15217 58.3333 53
178 0.151945 58.3333 53
179 0.151714 58.3333 53
180 0.151477 58.5556 53
181 0.151233 58.5556 53
182 0.150984 58.5556 53
183 0.150741 58.5556 53
184 0.15051 58.7778 53
185 0.150294 58.8889 53
186 0.150092 58.8889 53
187 0.149902 58.8889 53
188 0.149722 58.8889 53
189 0.149551 58.8889 53
190 0.149387 58.8889 53.3333
191 0.149227 59.1111 53.3333
192 0.14907 59.1111 53.3333
193 0.148914 59.1111 53.3333
194 0.148755 59.1111 53.3333
195 0.148592 59.1111 53.6667
196 0.148422 59.2222 53.6667
197 0.148244 59.2222 53.6667
198 0.148054 59.3333 53.6667
199 0.147854 59.2222 53.6667
200 0.147647 59.3333 53.6667
201 0.147445 59.3333 53.3333
202 0.147249 59.4444 53.3333
203 0.147056 59.4444 53.3333
204 0.146857 59.4444 53.3333
205 0.146643 59.4444 53.3333
206 0.146407 59.5556 53
207 0.146153 59.6667 53
208 0.145897 59.7778 53.3333
209 0.145657 59.7778 53.3333
210 0.145434 59.7778 53.3333
