Epoch	TrainError	TrainCCR	TestCCR
1 0.318204 100 100
2 0.316327 100 100
3 0.314568 100 100
4 0.312885 100 100
5 0.311272 100 100
6 0.309728 100 100
7 0.308247 100 100
8 0.306829 100 100
9 0.305469 100 100
10 0.304165 100 100
11 0.302914 100 100
12 0.301714 100 100
13 0.300563 100 100
14 0.299457 100 100
15 0.298395 100 100
16 0.297375 100 100
17 0.296395 100 100
18 0.295452 100 100
19 0.294546 100 100
20 0.293674 100 100
21 0.292835 100 100
22 0.292026 100 100
23 0.291248 100 100
24 0.290498 100 100
25 0.289775 100 100
26 0.289078 100 100
27 0.288405 100 100
28 0.287756 100 100
29 0.287129 100 100
30 0.286523 100 100
31 0.285938 100 100
32 0.285373 100 100
33 0.284826 100 100
34 0.284297 100 100
35 0.283785 100 100
36 0.28329 100 100
37 0.28281 100 100
38 0.282344 100 100
39 0.281894 100 100
40 0.281457 100 100
41 0.281033 100 100
42 0.280621 100 100
43 0.280222 100 100
44 0.279834 100 100
45 0.279457 100 100
46 0.279091 100 100
47 0.278735 100 100
48 0.278389 100 100
49 0.278052 100 100
50 0.277724 100 100
51 0.277405 100 100
52 0.277094 100 100
53 0.276791 100 100
54 0.276496 100 100
55 0.276208 100 100
56 0.275927 100 100
57 0.275653 100 100
58 0.275385 100 100
59 0.275124 100 100
60 0.274869 100 100
61 0.27462 100 100
62 0.274376 100 100
63 0.274138 100 100
64 0.273905 100 100
65 0.273678 100 100
66 0.273455 100 100
67 0.273237 100 100
68 0.273023 100 100
69 0.272814 100 100
70 0.272609 100 100
71 0.272409 100 100
72 0.272212 100 100
73 0.272019 100 100
74 0.27183 100 100
75 0.271645 100 100
76 0.271463 100 100
77 0.271284 100 100
78 0.271109 100 100
79 0.270937 100 100
80 0.270768 100 100
81 0.270603 100 100
82 0.27044 100 100
83 0.27028 100 100
84 0.270122 100 100
85 0.269968 100 100
86 0.269816 100 100
87 0.269666 100 100
88 0.269519 100 100
89 0.269375 100 100
90 0.269232 100 100
91 0.269093 100 100
92 0.268955 100 100
93 0.268819 100 100
94 0.268686 100 100
95 0.268554 100 100
96 0.268425 100 100
97 0.268297 100 100
98 0.268172 100 100
99 0.268048 100 100
100 0.267926 100 100
101 0.267806 100 100
102 0.267688 100 100
103 0.267571 100 100
104 0.267456 100 100
105 0.267342 100 100
106 0.26723 100 100
107 0.26712 100 100
108 0.267011 100 100
109 0.266903 100 100
110 0.266797 100 100
111 0.266693 100 100
112 0.266589 100 100
113 0.266488 100 100
114 0.266387 100 100
115 0.266287 100 100
116 0.266189 100 100
117 0.266092 100 100
118 0.265997 100 100
119 0.265902 100 100
120 0.265809 100 100
121 0.265716 100 100
122 0.265625 100 100
123 0.265535 100 100
124 0.265446 100 100
125 0.265358 100 100
