Epoch	TrainError	TrainCCR	TestCCR
1 1.95274 75 75
2 2.65674 25 25
3 1.43656 75 75
4 2.03389 25 25
5 1.118 75 75
6 1.70048 25 25
7 1.05455 75 75
8 1.43479 25 25
9 1.01495 75 75
10 1.24954 25 25
11 0.975284 75 75
12 1.10482 25 25
13 0.931275 75 75
14 0.980787 25 25
15 0.872582 75 75
16 0.873758 25 25
17 0.794992 75 75
18 0.776401 25 25
19 0.696847 75 75
20 0.674301 25 25
21 0.574002 75 75
22 0.541836 25 25
23 0.411076 75 75
24 0.328365 25 25
25 0.154368 100 100
26 0.0235612 100 100
27 0.0103297 100 100
28 0.00885726 100 100
29 0.00830639 100 100
30 0.0080333 100 100
31 0.00786226 100 100
32 0.00773302 100 100
33 0.0076228 100 100
34 0.00752246 100 100
35 0.00742813 100 100
36 0.00733807 100 100
37 0.0072514 100 100
38 0.00716766 100 100
39 0.00708652 100 100
40 0.00700776 100 100
41 0.00693122 100 100
42 0.00685673 100 100
43 0.00678417 100 100
44 0.00671343 100 100
45 0.00664441 100 100
46 0.00657702 100 100
47 0.00651118 100 100
48 0.00644682 100 100
49 0.00638387 100 100
50 0.00632226 100 100
51 0.00626194 100 100
52 0.00620286 100 100
53 0.00614497 100 100
54 0.00608823 100 100
55 0.00603258 100 100
56 0.00597801 100 100
57 0.00592446 100 100
58 0.0058719 100 100
59 0.0058203 100 100
60 0.00576963 100 100
61 0.00571987 100 100
62 0.00567098 100 100
63 0.00562293 100 100
64 0.00557571 100 100
65 0.00552929 100 100
66 0.00548365 100 100
67 0.00543876 100 100
68 0.00539461 100 100
69 0.00535117 100 100
70 0.00530843 100 100
71 0.00526637 100 100
72 0.00522497 100 100
73 0.00518421 100 100
74 0.00514409 100 100
75 0.00510457 100 100
76 0.00506566 100 100
77 0.00502733 100 100
78 0.00498957 100 100
79 0.00495237 100 100
80 0.00491571 100 100
81 0.00487958 100 100
82 0.00484398 100 100
83 0.00480888 100 100
84 0.00477428 100 100
85 0.00474016 100 100
86 0.00470652 100 100
87 0.00467335 100 100
88 0.00464063 100 100
89 0.00460835 100 100
90 0.00457651 100 100
91 0.0045451 100 100
92 0.00451411 100 100
93 0.00448353 100 100
94 0.00445335 100 100
95 0.00442356 100 100
96 0.00439415 100 100
97 0.00436513 100 100
98 0.00433647 100 100
99 0.00430818 100 100
100 0.00428025 100 100
101 0.00425266 100 100
102 0.00422542 100 100
103 0.00419851 100 100
104 0.00417194 100 100
105 0.00414568 100 100
106 0.00411975 100 100
107 0.00409413 100 100
108 0.00406881 100 100
109 0.00404379 100 100
110 0.00401907 100 100
111 0.00399464 100 100
112 0.0039705 100 100
113 0.00394663 100 100
114 0.00392304 100 100
115 0.00389972 100 100
116 0.00387666 100 100
117 0.00385387 100 100
118 0.00383133 100 100
119 0.00380905 100 100
120 0.00378701 100 100
121 0.00376521 100 100
122 0.00374366 100 100
123 0.00372234 100 100
124 0.00370125 100 100
125 0.0036804 100 100
126 0.00365976 100 100
127 0.00363935 100 100
128 0.00361915 100 100
129 0.00359917 100 100
130 0.0035794 100 100
131 0.00355983 100 100
132 0.00354047 100 100
133 0.00352131 100 100
134 0.00350234 100 100
135 0.00348357 100 100
136 0.003465 100 100
137 0.00344661 100 100
138 0.0034284 100 100
139 0.00341038 100 100
140 0.00339254 100 100
141 0.00337488 100 100
142 0.00335739 100 100
143 0.00334007 100 100
144 0.00332292 100 100
145 0.00330594 100 100
146 0.00328913 100 100
147 0.00327247 100 100
148 0.00325598 100 100
149 0.00323965 100 100
150 0.00322347 100 100
151 0.00320744 100 100
152 0.00319156 100 100
153 0.00317584 100 100
154 0.00316026 100 100
155 0.00314482 100 100
156 0.00312953 100 100
157 0.00311438 100 100
158 0.00309937 100 100
159 0.00308449 100 100
160 0.00306975 100 100
161 0.00305515 100 100
162 0.00304067 100 100
163 0.00302633 100 100
164 0.00301211 100 100
165 0.00299802 100 100
166 0.00298405 100 100
167 0.00297021 100 100
168 0.00295649 100 100
169 0.00294289 100 100
