Epoch	TrainError	TrainCCR	TestCCR
1 2.19322 25 25
2 2.89446 75 75
3 1.80471 25 25
4 2.30962 75 75
5 1.50164 25 25
6 2.03396 75 75
7 1.26799 25 25
8 1.85569 75 75
9 1.13397 25 25
10 1.71373 75 75
11 1.04869 25 25
12 1.5928 75 75
13 0.977856 25 25
14 1.48152 75 75
15 0.917786 25 25
16 1.37253 75 75
17 0.865839 25 25
18 1.26152 75 75
19 0.816229 25 25
20 1.14716 75 75
21 0.759831 25 25
22 1.02841 75 75
23 0.686925 25 25
24 0.899734 75 75
25 0.58794 25 25
26 0.744432 75 75
27 0.443996 25 25
28 0.518325 75 75
29 0.218106 50 50
30 0.159755 100 100
31 0.0427228 100 100
32 0.018473 100 100
33 0.0173642 100 100
34 0.0166684 100 100
35 0.0160405 100 100
36 0.015465 100 100
37 0.0149364 100 100
38 0.01445 100 100
39 0.0140017 100 100
40 0.0135877 100 100
41 0.0132047 100 100
42 0.0128496 100 100
43 0.0125197 100 100
44 0.0122126 100 100
45 0.0119261 100 100
46 0.0116582 100 100
47 0.0114071 100 100
48 0.0111713 100 100
49 0.0109493 100 100
50 0.01074 100 100
51 0.0105421 100 100
52 0.0103546 100 100
53 0.0101768 100 100
54 0.0100077 100 100
55 0.00984661 100 100
56 0.00969291 100 100
57 0.00954602 100 100
58 0.00940539 100 100
59 0.00927056 100 100
60 0.00914109 100 100
61 0.00901661 100 100
62 0.00889676 100 100
63 0.00878123 100 100
64 0.00866973 100 100
65 0.00856199 100 100
66 0.00845778 100 100
67 0.00835689 100 100
68 0.0082591 100 100
69 0.00816425 100 100
70 0.00807216 100 100
71 0.00798268 100 100
72 0.00789567 100 100
73 0.00781101 100 100
74 0.00772856 100 100
75 0.00764822 100 100
76 0.00756989 100 100
77 0.00749347 100 100
78 0.00741888 100 100
79 0.00734602 100 100
80 0.00727484 100 100
81 0.00720524 100 100
82 0.00713718 100 100
83 0.00707058 100 100
84 0.00700538 100 100
85 0.00694154 100 100
86 0.006879 100 100
87 0.00681771 100 100
88 0.00675762 100 100
89 0.0066987 100 100
90 0.0066409 100 100
91 0.00658419 100 100
92 0.00652852 100 100
93 0.00647387 100 100
94 0.0064202 100 100
95 0.00636747 100 100
96 0.00631567 100 100
97 0.00626476 100 100
98 0.00621472 100 100
99 0.00616551 100 100
100 0.00611712 100 100
101 0.00606953 100 100
102 0.0060227 100 100
103 0.00597663 100 100
104 0.00593128 100 100
105 0.00588665 100 100
106 0.0058427 100 100
107 0.00579943 100 100
108 0.00575681 100 100
109 0.00571483 100 100
110 0.00567348 100 100
111 0.00563273 100 100
112 0.00559258 100 100
113 0.00555301 100 100
114 0.005514 100 100
115 0.00547555 100 100
116 0.00543764 100 100
117 0.00540025 100 100
118 0.00536338 100 100
119 0.00532701 100 100
120 0.00529114 100 100
121 0.00525575 100 100
122 0.00522083 100 100
123 0.00518637 100 100
124 0.00515237 100 100
125 0.00511881 100 100
126 0.00508568 100 100
127 0.00505298 100 100
128 0.00502069 100 100
129 0.00498881 100 100
130 0.00495733 100 100
131 0.00492625 100 100
132 0.00489555 100 100
133 0.00486522 100 100
134 0.00483526 100 100
135 0.00480567 100 100
136 0.00477643 100 100
137 0.00474755 100 100
138 0.004719 100 100
139 0.00469079 100 100
140 0.00466291 100 100
141 0.00463536 100 100
142 0.00460812 100 100
143 0.0045812 100 100
144 0.00455458 100 100
145 0.00452827 100 100
146 0.00450225 100 100
147 0.00447652 100 100
148 0.00445108 100 100
149 0.00442592 100 100
150 0.00440104 100 100
151 0.00437643 100 100
152 0.00435209 100 100
153 0.00432801 100 100
154 0.00430418 100 100
155 0.00428062 100 100
156 0.0042573 100 100
157 0.00423423 100 100
158 0.0042114 100 100
159 0.00418882 100 100
160 0.00416646 100 100
161 0.00414434 100 100
162 0.00412244 100 100
163 0.00410077 100 100
164 0.00407932 100 100
165 0.00405808 100 100
166 0.00403706 100 100
167 0.00401625 100 100
168 0.00399564 100 100
169 0.00397524 100 100
170 0.00395504 100 100
171 0.00393504 100 100
172 0.00391524 100 100
173 0.00389562 100 100
174 0.0038762 100 100
175 0.00385696 100 100
176 0.00383791 100 100
177 0.00381904 100 100
178 0.00380034 100 100
179 0.00378182 100 100
180 0.00376348 100 100
181 0.00374531 100 100
182 0.0037273 100 100
183 0.00370947 100 100
184 0.00369179 100 100
185 0.00367428 100 100
186 0.00365693 100 100
187 0.00363973 100 100
188 0.00362269 100 100
189 0.00360581 100 100
190 0.00358907 100 100
191 0.00357249 100 100
192 0.00355605 100 100
193 0.00353976 100 100
194 0.0035236 100 100
195 0.0035076 100 100
196 0.00349173 100 100
197 0.003476 100 100
198 0.0034604 100 100
199 0.00344494 100 100
200 0.00342961 100 100
201 0.00341441 100 100
202 0.00339934 100 100
203 0.0033844 100 100
204 0.00336958 100 100
205 0.00335489 100 100
206 0.00334032 100 100
207 0.00332587 100 100
208 0.00331155 100 100
209 0.00329734 100 100
210 0.00328324 100 100
211 0.00326927 100 100
212 0.0032554 100 100
213 0.00324165 100 100
214 0.00322801 100 100
215 0.00321448 100 100
216 0.00320106 100 100
217 0.00318774 100 100
218 0.00317453 100 100
219 0.00316143 100 100
220 0.00314843 100 100
221 0.00313553 100 100
222 0.00312273 100 100
223 0.00311004 100 100
224 0.00309744 100 100
225 0.00308493 100 100
226 0.00307253 100 100
227 0.00306022 100 100
228 0.00304801 100 100
229 0.00303588 100 100
230 0.00302385 100 100
231 0.00301191 100 100
232 0.00300007 100 100
233 0.00298831 100 100
234 0.00297663 100 100
235 0.00296505 100 100
236 0.00295355 100 100
237 0.00294214 100 100
238 0.00293081 100 100
239 0.00291956 100 100
240 0.0029084 100 100
241 0.00289732 100 100
242 0.00288632 100 100
243 0.0028754 100 100
244 0.00286455 100 100
245 0.00285379 100 100
246 0.0028431 100 100
247 0.00283249 100 100
248 0.00282195 100 100
249 0.00281149 100 100
250 0.00280111 100 100
251 0.00279079 100 100
252 0.00278055 100 100
253 0.00277038 100 100
254 0.00276029 100 100
255 0.00275026 100 100
256 0.0027403 100 100
257 0.00273041 100 100
258 0.00272059 100 100
259 0.00271084 100 100
260 0.00270115 100 100
261 0.00269153 100 100
262 0.00268197 100 100
263 0.00267248 100 100
264 0.00266305 100 100
265 0.00265369 100 100
266 0.00264439 100 100
267 0.00263515 100 100
268 0.00262597 100 100
269 0.00261686 100 100
270 0.0026078 100 100
271 0.00259881 100 100
272 0.00258987 100 100
273 0.00258099 100 100
274 0.00257217 100 100
275 0.00256341 100 100
276 0.0025547 100 100
277 0.00254605 100 100
278 0.00253746 100 100
279 0.00252892 100 100
280 0.00252044 100 100
281 0.00251201 100 100
282 0.00250363 100 100
283 0.00249531 100 100
284 0.00248704 100 100
285 0.00247882 100 100
286 0.00247066 100 100
287 0.00246255 100 100
288 0.00245448 100 100
289 0.00244647 100 100
290 0.00243851 100 100
291 0.00243059 100 100
292 0.00242273 100 100
293 0.00241491 100 100
294 0.00240714 100 100
295 0.00239942 100 100
296 0.00239175 100 100
297 0.00238412 100 100
298 0.00237654 100 100
299 0.00236901 100 100
300 0.00236152 100 100
301 0.00235408 100 100
302 0.00234668 100 100
303 0.00233932 100 100
304 0.00233201 100 100
305 0.00232475 100 100
306 0.00231752 100 100
307 0.00231034 100 100
308 0.0023032 100 100
309 0.00229611 100 100
310 0.00228905 100 100
311 0.00228204 100 100
312 0.00227507 100 100
313 0.00226813 100 100
314 0.00226124 100 100
315 0.00225439 100 100
316 0.00224758 100 100
317 0.00224081 100 100
318 0.00223407 100 100
319 0.00222738 100 100
320 0.00222072 100 100
321 0.0022141 100 100
322 0.00220752 100 100
323 0.00220097 100 100
324 0.00219447 100 100
325 0.002188 100 100
326 0.00218156 100 100
327 0.00217516 100 100
328 0.0021688 100 100
329 0.00216248 100 100
330 0.00215618 100 100
331 0.00214993 100 100
332 0.0021437 100 100
333 0.00213752 100 100
334 0.00213136 100 100
335 0.00212524 100 100
336 0.00211916 100 100
337 0.0021131 100 100
338 0.00210708 100 100
339 0.00210109 100 100
340 0.00209514 100 100
341 0.00208922 100 100
342 0.00208332 100 100
343 0.00207747 100 100
344 0.00207164 100 100
345 0.00206584 100 100
346 0.00206007 100 100
347 0.00205434 100 100
348 0.00204863 100 100
349 0.00204296 100 100
350 0.00203731 100 100
351 0.0020317 100 100
352 0.00202611 100 100
353 0.00202056 100 100
354 0.00201503 100 100
355 0.00200953 100 100
356 0.00200406 100 100
357 0.00199862 100 100
358 0.00199321 100 100
359 0.00198782 100 100
360 0.00198247 100 100
361 0.00197714 100 100
362 0.00197183 100 100
363 0.00196656 100 100
364 0.00196131 100 100
365 0.00195609 100 100
366 0.00195089 100 100
367 0.00194572 100 100
368 0.00194058 100 100
369 0.00193546 100 100
370 0.00193037 100 100
371 0.0019253 100 100
372 0.00192026 100 100
373 0.00191525 100 100
374 0.00191026 100 100
375 0.00190529 100 100
376 0.00190035 100 100
377 0.00189544 100 100
378 0.00189054 100 100
379 0.00188567 100 100
380 0.00188083 100 100
381 0.00187601 100 100
382 0.00187121 100 100
383 0.00186644 100 100
384 0.00186169 100 100
385 0.00185696 100 100
386 0.00185226 100 100
387 0.00184758 100 100
388 0.00184292 100 100
389 0.00183828 100 100
390 0.00183367 100 100
391 0.00182907 100 100
392 0.0018245 100 100
393 0.00181995 100 100
394 0.00181543 100 100
395 0.00181092 100 100
396 0.00180644 100 100
397 0.00180197 100 100
398 0.00179753 100 100
399 0.00179311 100 100
400 0.00178871 100 100
401 0.00178433 100 100
402 0.00177997 100 100
403 0.00177563 100 100
404 0.00177131 100 100
405 0.00176701 100 100
406 0.00176273 100 100
407 0.00175847 100 100
408 0.00175424 100 100
409 0.00175001 100 100
410 0.00174581 100 100
411 0.00174163 100 100
412 0.00173747 100 100
413 0.00173333 100 100
414 0.0017292 100 100
415 0.0017251 100 100
416 0.00172101 100 100
417 0.00171694 100 100
418 0.00171289 100 100
419 0.00170886 100 100
420 0.00170484 100 100
421 0.00170085 100 100
422 0.00169687 100 100
423 0.00169291 100 100
424 0.00168896 100 100
425 0.00168504 100 100
426 0.00168113 100 100
427 0.00167724 100 100
428 0.00167337 100 100
429 0.00166951 100 100
430 0.00166567 100 100
431 0.00166185 100 100
432 0.00165804 100 100
433 0.00165425 100 100
434 0.00165048 100 100
