Epoch	TrainError	TrainCCR	TestCCR
1 0.368873 25 25
2 0.35915 25 25
3 0.347655 25 25
4 0.332183 25 25
5 0.310935 25 25
6 0.286403 100 100
7 0.26747 100 100
8 0.256482 100 100
9 0.248345 100 100
10 0.240499 100 100
11 0.232311 100 100
12 0.223715 100 100
13 0.214874 100 100
14 0.206026 100 100
15 0.197411 100 100
16 0.189187 100 100
17 0.181458 100 100
18 0.174261 100 100
19 0.167625 100 100
20 0.161575 100 100
21 0.156316 100 100
22 0.152614 100 100
23 0.153054 100 100
24 0.164093 100 100
25 0.183222 75 75
26 0.19107 100 100
27 0.174645 75 75
28 0.18261 100 100
29 0.165372 100 100
30 0.174057 100 100
31 0.156731 100 100
32 0.165531 100 100
33 0.148746 100 100
34 0.157141 100 100
35 0.14138 100 100
36 0.148922 100 100
37 0.134523 100 100
38 0.140837 100 100
39 0.128 100 100
40 0.132794 100 100
41 0.121595 100 100
42 0.12468 100 100
43 0.115068 100 100
44 0.116379 100 100
45 0.108186 100 100
46 0.107783 100 100
47 0.100754 100 100
48 0.0988228 100 100
49 0.0926787 100 100
50 0.0895448 100 100
51 0.0840886 100 100
52 0.0802668 100 100
53 0.0755262 100 100
54 0.0717491 100 100
55 0.0680012 100 100
56 0.0649975 100 100
57 0.0624409 100 100
58 0.0604453 100 100
59 0.0588398 100 100
60 0.05754 100 100
61 0.0564348 100 100
62 0.0554547 100 100
63 0.0545511 100 100
64 0.0536969 100 100
65 0.0528772 100 100
66 0.0520842 100 100
67 0.0513141 100 100
68 0.0505648 100 100
69 0.0498349 100 100
70 0.0491237 100 100
71 0.0484303 100 100
72 0.047754 100 100
73 0.0470943 100 100
74 0.0464505 100 100
75 0.0458221 100 100
76 0.0452085 100 100
77 0.0446093 100 100
78 0.044024 100 100
79 0.043452 100 100
80 0.0428931 100 100
81 0.0423467 100 100
82 0.0418124 100 100
83 0.0412899 100 100
84 0.0407788 100 100
85 0.0402788 100 100
86 0.0397894 100 100
87 0.0393105 100 100
88 0.0388416 100 100
89 0.0383825 100 100
90 0.0379329 100 100
91 0.0374925 100 100
92 0.0370611 100 100
93 0.0366383 100 100
94 0.036224 100 100
95 0.0358179 100 100
96 0.0354197 100 100
97 0.0350293 100 100
98 0.0346465 100 100
99 0.034271 100 100
100 0.0339026 100 100
101 0.0335412 100 100
102 0.0331865 100 100
103 0.0328384 100 100
104 0.0324967 100 100
105 0.0321612 100 100
106 0.0318318 100 100
107 0.0315084 100 100
108 0.0311907 100 100
109 0.0308786 100 100
110 0.0305721 100 100
111 0.0302708 100 100
112 0.0299748 100 100
113 0.0296839 100 100
114 0.0293979 100 100
115 0.0291168 100 100
116 0.0288404 100 100
117 0.0285686 100 100
118 0.0283013 100 100
119 0.0280384 100 100
120 0.0277798 100 100
121 0.0275254 100 100
122 0.0272751 100 100
123 0.0270288 100 100
124 0.0267864 100 100
125 0.0265478 100 100
126 0.026313 100 100
127 0.0260818 100 100
128 0.0258542 100 100
129 0.02563 100 100
130 0.0254093 100 100
131 0.025192 100 100
132 0.0249779 100 100
133 0.024767 100 100
134 0.0245592 100 100
135 0.0243545 100 100
136 0.0241528 100 100
137 0.0239541 100 100
138 0.0237582 100 100
139 0.0235651 100 100
140 0.0233748 100 100
141 0.0231872 100 100
142 0.0230023 100 100
143 0.0228199 100 100
144 0.0226401 100 100
145 0.0224627 100 100
146 0.0222878 100 100
147 0.0221153 100 100
148 0.0219452 100 100
149 0.0217773 100 100
150 0.0216117 100 100
151 0.0214483 100 100
152 0.0212871 100 100
153 0.021128 100 100
154 0.020971 100 100
155 0.0208161 100 100
156 0.0206632 100 100
157 0.0205122 100 100
158 0.0203632 100 100
159 0.020216 100 100
160 0.0200708 100 100
161 0.0199273 100 100
162 0.0197857 100 100
163 0.0196459 100 100
164 0.0195077 100 100
165 0.0193713 100 100
166 0.0192366 100 100
167 0.0191034 100 100
168 0.018972 100 100
169 0.0188421 100 100
170 0.0187137 100 100
171 0.0185869 100 100
172 0.0184616 100 100
173 0.0183378 100 100
174 0.0182154 100 100
175 0.0180945 100 100
176 0.017975 100 100
177 0.0178568 100 100
178 0.01774 100 100
179 0.0176246 100 100
180 0.0175105 100 100
181 0.0173976 100 100
182 0.0172861 100 100
183 0.0171757 100 100
184 0.0170667 100 100
185 0.0169588 100 100
186 0.0168521 100 100
187 0.0167466 100 100
188 0.0166423 100 100
189 0.0165391 100 100
190 0.016437 100 100
191 0.0163361 100 100
192 0.0162362 100 100
193 0.0161373 100 100
194 0.0160396 100 100
195 0.0159428 100 100
196 0.0158471 100 100
197 0.0157524 100 100
198 0.0156587 100 100
199 0.0155659 100 100
200 0.0154742 100 100
201 0.0153833 100 100
202 0.0152934 100 100
203 0.0152044 100 100
204 0.0151164 100 100
205 0.0150292 100 100
206 0.0149429 100 100
207 0.0148574 100 100
208 0.0147728 100 100
209 0.0146891 100 100
210 0.0146062 100 100
211 0.0145241 100 100
212 0.0144428 100 100
213 0.0143623 100 100
214 0.0142825 100 100
215 0.0142036 100 100
216 0.0141254 100 100
217 0.014048 100 100
218 0.0139713 100 100
219 0.0138954 100 100
220 0.0138201 100 100
221 0.0137456 100 100
222 0.0136718 100 100
223 0.0135987 100 100
224 0.0135262 100 100
225 0.0134544 100 100
226 0.0133833 100 100
227 0.0133129 100 100
228 0.0132431 100 100
229 0.0131739 100 100
230 0.0131054 100 100
231 0.0130375 100 100
232 0.0129702 100 100
233 0.0129035 100 100
234 0.0128374 100 100
235 0.0127719 100 100
236 0.012707 100 100
237 0.0126427 100 100
238 0.0125789 100 100
239 0.0125157 100 100
240 0.0124531 100 100
241 0.012391 100 100
242 0.0123294 100 100
243 0.0122684 100 100
244 0.0122079 100 100
245 0.012148 100 100
246 0.0120885 100 100
247 0.0120295 100 100
248 0.0119711 100 100
249 0.0119132 100 100
250 0.0118557 100 100
251 0.0117987 100 100
252 0.0117422 100 100
253 0.0116862 100 100
254 0.0116307 100 100
255 0.0115756 100 100
256 0.0115209 100 100
257 0.0114668 100 100
258 0.011413 100 100
259 0.0113597 100 100
260 0.0113069 100 100
261 0.0112545 100 100
262 0.0112025 100 100
263 0.0111509 100 100
264 0.0110997 100 100
265 0.011049 100 100
266 0.0109986 100 100
267 0.0109487 100 100
268 0.0108992 100 100
269 0.01085 100 100
270 0.0108012 100 100
271 0.0107529 100 100
272 0.0107049 100 100
273 0.0106573 100 100
274 0.01061 100 100
275 0.0105631 100 100
276 0.0105166 100 100
277 0.0104705 100 100
278 0.0104247 100 100
279 0.0103792 100 100
280 0.0103341 100 100
281 0.0102894 100 100
282 0.010245 100 100
283 0.0102009 100 100
284 0.0101572 100 100
285 0.0101138 100 100
286 0.0100707 100 100
287 0.0100279 100 100
288 0.00998549 100 100
289 0.00994337 100 100
290 0.00990156 100 100
291 0.00986007 100 100
292 0.00981888 100 100
293 0.00977799 100 100
294 0.00973741 100 100
295 0.00969712 100 100
296 0.00965712 100 100
297 0.00961742 100 100
298 0.00957801 100 100
299 0.00953888 100 100
300 0.00950004 100 100
301 0.00946147 100 100
302 0.00942319 100 100
303 0.00938517 100 100
304 0.00934743 100 100
305 0.00930996 100 100
306 0.00927275 100 100
307 0.00923581 100 100
308 0.00919913 100 100
309 0.0091627 100 100
310 0.00912653 100 100
311 0.00909062 100 100
312 0.00905495 100 100
313 0.00901954 100 100
314 0.00898437 100 100
315 0.00894944 100 100
316 0.00891476 100 100
317 0.00888031 100 100
318 0.0088461 100 100
319 0.00881213 100 100
320 0.00877839 100 100
321 0.00874487 100 100
322 0.00871159 100 100
323 0.00867853 100 100
324 0.00864569 100 100
325 0.00861308 100 100
326 0.00858069 100 100
327 0.00854851 100 100
328 0.00851654 100 100
329 0.0084848 100 100
330 0.00845326 100 100
331 0.00842193 100 100
332 0.00839081 100 100
333 0.00835989 100 100
334 0.00832918 100 100
335 0.00829866 100 100
336 0.00826835 100 100
337 0.00823824 100 100
338 0.00820832 100 100
339 0.0081786 100 100
340 0.00814907 100 100
341 0.00811973 100 100
342 0.00809058 100 100
343 0.00806161 100 100
344 0.00803284 100 100
345 0.00800424 100 100
346 0.00797583 100 100
347 0.0079476 100 100
348 0.00791955 100 100
349 0.00789168 100 100
350 0.00786398 100 100
351 0.00783646 100 100
352 0.00780911 100 100
353 0.00778193 100 100
354 0.00775492 100 100
355 0.00772808 100 100
356 0.00770141 100 100
357 0.0076749 100 100
358 0.00764856 100 100
359 0.00762237 100 100
360 0.00759635 100 100
361 0.00757049 100 100
362 0.00754479 100 100
363 0.00751925 100 100
364 0.00749386 100 100
365 0.00746863 100 100
366 0.00744354 100 100
367 0.00741861 100 100
368 0.00739384 100 100
369 0.00736921 100 100
370 0.00734472 100 100
371 0.00732039 100 100
372 0.0072962 100 100
373 0.00727215 100 100
374 0.00724825 100 100
375 0.00722449 100 100
376 0.00720087 100 100
377 0.00717739 100 100
378 0.00715405 100 100
379 0.00713085 100 100
380 0.00710778 100 100
381 0.00708484 100 100
382 0.00706204 100 100
383 0.00703938 100 100
384 0.00701684 100 100
385 0.00699444 100 100
386 0.00697216 100 100
387 0.00695001 100 100
388 0.00692799 100 100
389 0.0069061 100 100
390 0.00688433 100 100
391 0.00686269 100 100
392 0.00684117 100 100
393 0.00681977 100 100
394 0.0067985 100 100
395 0.00677734 100 100
396 0.0067563 100 100
397 0.00673538 100 100
398 0.00671458 100 100
399 0.0066939 100 100
400 0.00667333 100 100
401 0.00665288 100 100
402 0.00663254 100 100
403 0.00661231 100 100
404 0.0065922 100 100
405 0.00657219 100 100
406 0.0065523 100 100
407 0.00653252 100 100
408 0.00651284 100 100
409 0.00649327 100 100
410 0.00647381 100 100
411 0.00645446 100 100
412 0.00643521 100 100
413 0.00641607 100 100
414 0.00639703 100 100
415 0.00637809 100 100
416 0.00635925 100 100
417 0.00634052 100 100
418 0.00632188 100 100
419 0.00630335 100 100
420 0.00628491 100 100
421 0.00626658 100 100
422 0.00624834 100 100
423 0.0062302 100 100
424 0.00621215 100 100
425 0.0061942 100 100
426 0.00617634 100 100
427 0.00615858 100 100
428 0.00614091 100 100
429 0.00612333 100 100
430 0.00610585 100 100
