Epoch	TrainError	TrainCCR	TestCCR
1 1.08 17.1111 14.6667
2 0.948879 16.4444 20
3 0.757793 23.3333 23.6667
4 0.641538 24.2222 25
5 0.338795 24 24
6 0.342179 35.8889 35
7 0.321794 26.8889 29
8 0.343502 39.2222 34.6667
9 0.232838 39.3333 45.6667
10 0.215927 41.3333 39.6667
11 0.207437 41.4444 40.6667
12 0.229074 40 39
13 0.187615 47.3333 50.3333
14 0.191199 48.6667 48.6667
15 0.18281 50.5556 51.6667
16 0.177645 52.2222 50.3333
17 0.181571 51.4444 54
18 0.166934 55.4444 52.6667
19 0.169613 53.6667 55.3333
20 0.15742 56.4444 55.3333
21 0.15494 56.5556 59.3333
22 0.143431 58.8889 58.3333
23 0.14194 59.6667 59
24 0.131391 61.3333 60.6667
25 0.131672 62.6667 60.3333
26 0.121388 63.6667 62.6667
27 0.122886 63.5556 61
28 0.113368 66.7778 62.6667
29 0.115521 65.1111 63
30 0.106842 68.1111 64
31 0.109115 65.7778 63.6667
32 0.101375 69.6667 65.3333
33 0.10341 67.3333 65
34 0.0966168 70.5556 65.6667
35 0.0982161 68.4444 65
36 0.0923294 71 66
37 0.0934135 69.5556 67
38 0.0883686 71.6667 66.6667
39 0.088935 71.1111 68.3333
40 0.0846598 72.2222 68
41 0.0847526 71.3333 68.6667
42 0.081172 73.2222 69
43 0.080864 73.5556 69.6667
44 0.0778982 75.3333 69.6667
45 0.0772782 75.4444 70.3333
46 0.0748406 76.1111 69.6667
47 0.0740024 76.1111 71
48 0.0720024 76.2222 70.6667
49 0.0710345 76.5556 72
50 0.0693838 76.7778 70.6667
51 0.0683614 77.2222 72
52 0.0669798 77.3333 71.3333
53 0.0659599 77.7778 72.6667
54 0.0647801 77.7778 71
55 0.0637999 78.3333 72.3333
56 0.0627689 78 71
57 0.0618469 78.6667 73.3333
58 0.0609253 78.2222 71
59 0.0600654 78.8889 73.6667
60 0.0592244 78.4444 71.6667
61 0.0584214 79.1111 73.6667
62 0.0576403 79 71.6667
63 0.0568851 79.2222 73.3333
64 0.0561498 79.3333 72
65 0.0554341 79.6667 73
66 0.0547353 79.5556 73
67 0.0540524 79.6667 73
68 0.0533843 82 73
69 0.05273 82.2222 73.3333
70 0.0520887 82.3333 73.3333
71 0.0514597 82.4444 73.3333
72 0.0508425 82.6667 73.3333
73 0.0502363 82.7778 73
74 0.0496408 82.7778 73
75 0.0490553 82.7778 73
76 0.0484795 82.7778 73
77 0.0479129 82.7778 72.6667
78 0.0473551 82.7778 72.6667
79 0.0468057 82.7778 72.6667
80 0.0462644 82.7778 72.6667
81 0.045731 82.8889 72.6667
82 0.0452053 83 72.6667
83 0.0446873 83 72.6667
84 0.0441769 83.1111 72.6667
85 0.0436744 83.1111 72.6667
86 0.0431798 83.1111 72.6667
87 0.0426935 88.3333 72.6667
88 0.0422156 88.3333 72.6667
89 0.0417463 88.3333 72.6667
90 0.0412855 88.3333 72.6667
91 0.0408332 88.3333 73
92 0.0403893 88.3333 73
93 0.0399534 88.4444 73
94 0.0395255 88.6667 73
95 0.0391052 88.8889 73
96 0.0386924 88.8889 73
97 0.0382867 89 73
98 0.037888 89.2222 73
99 0.0374959 89.3333 73
100 0.0371103 89.3333 73
101 0.036731 89.3333 72.6667
102 0.0363577 89.3333 72.6667
103 0.0359902 89.4444 72.6667
104 0.0356283 89.4444 72.6667
105 0.035272 89.4444 72.6667
106 0.034921 89.5556 72.6667
107 0.0345751 89.6667 72.6667
108 0.0342344 89.7778 72.6667
109 0.0338986 89.7778 72.6667
110 0.0335676 89.7778 72.6667
111 0.0332413 89.8889 72.6667
112 0.0329198 90 72.6667
113 0.0326027 90 72.6667
114 0.0322901 90.2222 72.6667
115 0.031982 90.3333 72.6667
116 0.0316781 90.3333 72.6667
117 0.0313784 90.3333 72.6667
118 0.0310828 90.3333 72.6667
119 0.0307913 90.3333 72.6667
120 0.0305038 90.4444 72.6667
121 0.0302202 90.5556 72.6667
122 0.0299404 90.5556 73
123 0.0296643 90.6667 73
124 0.0293919 90.7778 73
125 0.0291231 91 73
126 0.0288579 91.1111 73
127 0.0285961 91.2222 73
128 0.0283377 91.2222 73
129 0.0280826 91.2222 73
130 0.0278307 91.2222 73
131 0.027582 91.2222 73
132 0.0273364 91.2222 73
133 0.0270939 91.2222 73
134 0.0268543 91.2222 73
135 0.0266175 91.2222 73
136 0.0263836 91.2222 73
137 0.0261525 91.3333 73
138 0.025924 91.3333 73.3333
139 0.0256982 91.3333 73.3333
140 0.0254749 91.3333 73.3333
141 0.0252542 91.3333 73.3333
142 0.0250359 91.3333 73.3333
143 0.0248201 91.3333 73.3333
144 0.0246066 91.3333 73.3333
145 0.0243954 91.3333 73.3333
146 0.0241865 91.4444 73.3333
147 0.0239797 91.4444 73.3333
148 0.0237751 91.4444 73
149 0.0235725 91.4444 73
150 0.0233719 91.4444 73
151 0.0231733 91.4444 73.3333
152 0.0229766 91.4444 73.3333
153 0.0227816 91.5556 73.3333
154 0.0225884 91.5556 73.3333
155 0.0223968 91.5556 73.3333
156 0.0222068 91.5556 73.3333
157 0.0220183 91.5556 73.3333
158 0.0218312 91.5556 73.3333
159 0.0216453 91.5556 73.3333
160 0.0214607 91.5556 73.3333
161 0.0212772 91.5556 73.3333
162 0.0210948 91.5556 73.3333
163 0.0209135 91.5556 73.3333
164 0.0207333 91.5556 73.3333
165 0.0205542 91.6667 73.3333
166 0.0203764 91.7778 73.3333
167 0.0202002 91.7778 73.3333
168 0.0200257 91.7778 73.3333
169 0.0198532 91.7778 73.3333
170 0.0196829 91.7778 73.3333
171 0.0195148 91.7778 73.3333
172 0.0193492 91.7778 73.3333
173 0.019186 91.8889 73.3333
174 0.0190254 91.8889 73.3333
175 0.0188672 91.8889 73.3333
176 0.0187115 92 73.3333
177 0.0185582 92 73.3333
178 0.0184071 92 73.3333
179 0.0182583 92 73.3333
180 0.0181115 92 73.3333
181 0.0179668 92 73.3333
182 0.0178241 92 73.3333
183 0.0176832 92 73.3333
184 0.0175441 92 73.3333
185 0.0174068 92.1111 73.3333
186 0.0172712 92.1111 73.3333
187 0.0171372 92.1111 73.3333
188 0.0170048 92.1111 73.3333
189 0.0168739 92.1111 73.3333
190 0.0167446 92.1111 73.3333
191 0.0166167 92.1111 73.3333
192 0.0164903 92.1111 73.3333
193 0.0163653 92.2222 73.6667
194 0.0162416 92.2222 73.6667
195 0.0161193 92.3333 73.6667
196 0.0159983 92.4444 73.6667
197 0.0158786 92.4444 73.6667
198 0.0157601 92.4444 73.6667
199 0.0156429 92.4444 74
200 0.0155269 92.4444 74
201 0.0154121 92.4444 74
202 0.0152985 92.4444 74
