Epoch	TrainError	TrainCCR	TestCCR
1 1.16373 16.8889 16
2 1.23323 23.7778 22.6667
3 0.994878 16.6667 16.6667
4 0.708164 27.4444 25.6667
5 0.618546 25.7778 27.3333
6 0.474011 28.8889 25.3333
7 0.320768 35.3333 32.3333
8 0.249052 43.5556 40.3333
9 0.199357 50 43.6667
10 0.189728 49.8889 47
11 0.181693 52.1111 47
12 0.17616 52.3333 49.6667
13 0.168949 55.3333 48
14 0.162825 56.4444 52.6667
15 0.155453 58.2222 51.6667
16 0.149187 59.2222 55.6667
17 0.142649 62.6667 54.3333
18 0.137327 62.6667 59.3333
19 0.132061 64.4444 57
20 0.127779 65.4444 61.3333
21 0.12363 66.4444 59
22 0.120132 66.8889 63.6667
23 0.116784 68.3333 60.6667
24 0.113835 68.3333 64
25 0.111038 69.3333 63.3333
26 0.10849 70 64.6667
27 0.106081 70.8889 65
28 0.103838 71 65.3333
29 0.101713 72 65
30 0.0997056 72.2222 66.3333
31 0.0977949 72.5556 64.6667
32 0.0959742 72.8889 65.6667
33 0.0942327 73 65.3333
34 0.0925638 73.3333 66.6667
35 0.0909613 73.5556 65.3333
36 0.0894196 73.5556 66.3333
37 0.0879339 73.6667 66.3333
38 0.0864999 74.2222 66
39 0.0851135 74.2222 66.6667
40 0.0837712 74.5556 66.6667
41 0.0824699 74.8889 67
42 0.081207 75.2222 67
43 0.0799803 75.1111 67
44 0.0787883 75.3333 67
45 0.0776301 75.3333 67
46 0.0765049 75.3333 67.3333
47 0.0754118 75.7778 67.3333
48 0.0743497 75.8889 68.3333
49 0.0733173 76.1111 68.3333
50 0.0723132 76.4444 68.3333
51 0.0713358 76.4444 68.6667
52 0.0703837 76.6667 68.6667
53 0.0694555 76.6667 68.6667
54 0.0685497 76.8889 68.6667
55 0.0676652 77.1111 68.3333
56 0.0668008 77.4444 68.3333
57 0.0659553 77.4444 68.3333
58 0.0651279 77.6667 68.6667
59 0.0643176 77.6667 68.6667
60 0.0635235 78 68.6667
61 0.0627449 78.1111 68.6667
62 0.0619811 78.1111 68.6667
63 0.0612316 78.3333 68.6667
64 0.0604958 78.4444 68.6667
65 0.0597733 78.4444 68.6667
66 0.0590636 78.5556 68.6667
67 0.0583664 78.6667 69.3333
68 0.0576811 78.7778 69.3333
69 0.0570072 78.8889 69.3333
70 0.0563445 79.1111 69.3333
71 0.0556923 79.1111 69
72 0.0550504 79.1111 69
73 0.0544184 79.2222 69
74 0.0537958 79.3333 69
75 0.0531825 79.3333 69
76 0.0525782 79.3333 69.3333
77 0.0519828 79.3333 69
78 0.0513959 79.4444 69
79 0.0508175 79.6667 69
80 0.0502473 79.6667 69
